country,season,avg_temperature_celsius,avg_precip_mm,avg_humidity,avg_wind_kph,avg_pressure_mb
Cuba,autumn,23.65340007415647,0.038452601656161114,93.8356260042022,15.279129897416881,1013.6999691014707
Cuba,spring,22.85873181530677,0.0002941176470588,88.10619860847567,15.267941176470588,1016.0101992409867
Cuba,summer,25.459545791620318,0.08016944753429735,92.35166852057841,11.59227722160425,1016.2286614757137
Cuba,winter,19.1078904249872,0.0,90.35570489844683,17.935597371565112,1018.8633981908175
Cyprus,autumn,25.86236559139785,0.009596774193548365,50.081541218637994,10.830752688172042,1014.8637992831541
Cyprus,spring,24.499840290955092,0.04077419354838708,44.66456356736243,15.968597406704617,1012.8744465528147
Cyprus,summer,34.73977342549923,0.0017759856630824168,35.43553507424475,13.08745135688684,1006.2491807475677
Cyprus,winter,14.706956818569722,0.07069781532684755,68.06040279911248,13.324698754053594,1017.6404676565967
Czech Republic,autumn,10.353243727598565,0.062224014336917495,78.89462365591397,12.972401433691756,1017.5118279569892
Czech Republic,spring,13.008034471853257,0.09627118912080958,63.06554395951929,12.842707147375078,1015.6029095509172
Czech Republic,summer,22.34349565360689,0.11950304865488398,56.74297985415894,12.321443579285626,1015.6398268309096
Czech Republic,winter,0.8416611196449906,0.05185270523980196,84.17016129032258,11.286201570233828,1016.094145758662
Democratic Republic of Congo,autumn,26.19646953405018,0.2240232974910394,74.67562724014337,7.2051075268817195,1014.9775985663082
Democratic Republic of Congo,spring,28.075934535104363,0.22614452877925365,73.98355471220746,6.194660025300443,1013.4785895003163
Democratic Republic of Congo,summer,27.30506832989035,5.7471264367799996e-05,62.160592898635166,8.724578102653743,1015.1158593322388
Democratic Republic of Congo,winter,26.18301672640382,0.09894504181600954,80.17164476304261,5.132487056949422,1013.4787933094385
Denmark,autumn,11.812508960573476,0.11454121863799277,80.9905017921147,20.439659498207885,1014.3544802867385
Denmark,spring,12.3113330170778,0.0346810562934851,68.02881087919039,18.22981815306768,1015.9972169512968
Denmark,summer,18.973906810035842,0.143961315041404,67.14052033123222,19.046835990606848,1012.8680879990112
